,param_value,scores_avg,scores_raw,scores_std
0,"(5,)",0.847597729191861,"[0.93285778 0.9767828  0.95315165 0.77664037 0.81210717 0.97416239
 0.93468078 0.84408476 0.93847958 0.33303003]",0.1838608322702065
1,"(25,)",0.9604163377399357,"[0.944824   0.96983972 0.94942739 0.97557781 0.94962954 0.96953642
 0.94341669 0.97738941 0.9480429  0.97647949]",0.01367581525958728
2,"(100,)",0.955293691212266,"[0.94401543 0.97396842 0.94581561 0.96973862 0.94905362 0.96721931
 0.94260812 0.97044634 0.92053502 0.96953642]",0.016604640959822912
3,"(500,)",0.9548527481525563,"[0.94462186 0.97406128 0.94069546 0.9707414  0.9408976  0.96913201
 0.94029117 0.97004193 0.92729514 0.97074964]",0.016673466333441817
4,"(1000,)",0.9554468638792093,"[0.94250705 0.97437283 0.93876369 0.96994083 0.94441971 0.97004193
 0.93616262 0.96994083 0.94079653 0.96752262]",0.015136252382571855
